Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
2,43,Glenn Hagan,G,United States,Philadelphia 76ers,St. Bonaventure,No,College Senior
2,44,Clemon Johnson,F/C,United States,Portland Trail Blazers,Florida A&M,No,College Senior
3,46,Hollis Copeland,F,United States,Denver Nuggets,Rutgers,Yes,College Senior
3,47,Billy Ray Bates,G,United States,Houston Rockets,Kentucky State,No,College Senior
3,49,Jeff Cook,F/C,United States,Kansas City Kings,Idaho State,No,College Senior
3,55,Marc Iavaroni,F,United States,New York Knicks,Virginia,No,College Senior
3,57,Kenny Higgs,G,United States,Cleveland Cavaliers,LSU,No,College Senior
3,59,Pat Cummings,F/C,United States,Milwaukee Bucks,Cincinnati,No,College Senior
3,60,Michael Cooper,G/F,United States,Los Angeles Lakers,New Mexico,No,College Senior
3,62,Dave Batton,C,United States,New Jersey Nets,Notre Dame,Yes,College Senior
3,63,Joel Kramer,F/C,United States,Phoenix Suns,San Diego State,No,College Senior
3,64,Gerald Henderson,G,United States,San Antonio Spurs,Virginia Commonwealth,No,College Senior
4,67,Jackie Robinson,F,United States,Houston Rockets,UNLV,Yes,College Senior
4,70,Geoff Crompton,C,United States,Kansas City Kings,North Carolina,No,College Senior
4,80,Otis Howard,F,United States,Milwaukee Bucks,Austin Peay,No,College Senior
4,81,Lawrence Boston,F,United States,Washington Bullets,Maryland,No,College Senior
4,84,Walter Jordan,F,United States,New Jersey Nets,Purdue,Yes,College Senior
4,85,Bob Miller,F,United States,Phoenix Suns,Cincinnati,No,College Senior
4,87,Brett Vroman,C,United States,Philadelphia 76ers,UNLV,No,College Senior
5,96,Duck Williams,G,United States,New Orleans Jazz,Notre Dame,No,College Senior
5,101,Bubba Wilson,G,United States,Golden State Warriors,Western Carolina,No,College Senior
5,104,Carlos Terry,G/F,United States,Los Angeles Lakers,Winston-Salem State,No,College Senior
5,105,Ralph Drollinger,C,United States,Seattle SuperSonics,UCLA,No,College Senior
5,107,Andre Wakefield,G,United States,Phoenix Suns,Loyola,No,College Senior
5,110,Clay Johnson,G,United States,Portland Trail Blazers,Missouri,No,College Senior
6,118,John Douglas,G,United States,New Orleans Jazz,Kansas,No,College Senior
7,133,Stan Pietkiewicz,G/F,United States,Buffalo Braves,Auburn,No,College Senior
7,146,Kim Anderson,F,United States,Milwaukee Bucks,Missouri,No,College Senior
7,149,Steve Malovic,C,United States,Phoenix Suns,San Diego State,No,College Junior
8,157,Earl Evans,F,United States,Detroit Pistons,UNLV,No,College Junior
8,158,Carl Kilpatrick,C,United States,New Orleans Jazz,Northeast Louisiana,No,College Senior
8,159,Chubby Cox,G,United States,Chicago Bulls,San Francisco,No,College Freshman
10,190,Rickey Williams,G,United States,New Orleans Jazz,Long Beach State,No,College Senior
