Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
2,38,Lemone Lampley,C,United States,Seattle SuperSonics,DePaul,No,College Senior
2,39,Rafael Addison,SF,United States,Phoenix Suns,Syracuse,No,College Senior
2,40,Augusto Binelli,C,Italy,Atlanta Hawks,Virtus Bologna (Italy),No,Playing Internationally
2,41,Otis Smith,SG,United States,Denver Nuggets,Jacksonville,No,College Senior
2,42,Ron Kellogg,SF,United States,Atlanta Hawks,Kansas,No,College Senior
2,43,Dave Feitl,C,United States,Houston Rockets,UTEP,No,College Senior
2,44,David Wingate,SG,United States,Philadelphia 76ers,Georgetown,No,College Senior
2,45,Keith Smith,PG,United States,Milwaukee Bucks,Loyola Marymount,No,College Senior
2,46,Jeff Hornacek,SG,United States,Phoenix Suns,Iowa State,No,College Senior
2,47,Michael Jackson,PG,United States,New York Knicks,Georgetown,No,College Senior
3,48,Forrest McKenzie,SF,United States,San Antonio Spurs,Loyola Marymount,No,College Senior
3,50,Kevin Henderson,PG,United States,Cleveland Cavaliers,Cal State Fullerton,No,College Senior
3,51,Mike Williams,PF/SF,United States,Golden State Warriors,Bradley,No,College Senior
3,52,Ricky Wilson,PG,United States,Chicago Bulls,George Mason,No,College Senior
3,53,Tod Murphy,PF,United States,Seattle SuperSonics,UC Irvine,No,College Senior
3,54,Dwayne Polee,SG,United States,Los Angeles Clippers,Pepperdine,No,College Senior
3,55,Kenny Gattison,PF,United States,Phoenix Suns,Old Dominion,No,College Senior
3,57,Bruce Douglas,SG,United States,Sacramento Kings,Illinois,No,College Senior
3,58,David Henderson,PG,United States,Washington Bullets,Duke,No,College Senior
3,59,Wendell Alexis,PF,United States,Golden State Warriors,Syracuse,No,College Senior
3,60,Dražen Petrović^,SG,Yugoslavia,Portland Trail Blazers,Cibona (Yugoslavia),No,Playing Internationally
3,61,John Shasky,C,United States,Utah Jazz,Minnesota,No,College Senior
3,65,Dave Hoppen,C,United States,Atlanta Hawks,Nebraska,No,College Senior
3,66,Anthony Bowie,SG,United States,Houston Rockets,Oklahoma,No,College Senior
3,67,Ron Rowan,SG,United States,Philadelphia 76ers,St. John's,No,College Senior
3,69,Andre Turner,PG,United States,Los Angeles Lakers,Memphis State,No,College Senior
3,70,Jim Les,PG,United States,Atlanta Hawks,Bradley,No,College Senior
4,74,Scott Meents,PF,United States,Chicago Bulls,Illinois,No,College Senior
4,77,Grant Gondrezick,SG,United States,Phoenix Suns,Pepperdine,No,College Senior
4,85,Myron Jackson,PG,United States,Dallas Mavericks,Arkansas–Little Rock,No,College Senior
4,89,Conner Henry,SG,United States,Houston Rockets,UC Santa Barbara,No,College Senior
5,95,Richard Rellford,SF,United States,Indiana Pacers,Michigan,No,College Senior
5,97,Clinton Smith,SG,United States,Golden State Warriors,Cleveland State,No,College Senior
5,99,Dominic Pressley,PG,United States,Seattle SuperSonics,Boston College,No,College Senior
5,100,Steffond Johnson,PF,United States,Los Angeles Clippers,San Diego State,No,College Senior
6,120,Pete Myers,G/SF,United States,Chicago Bulls,Arkansas–Little Rock,No,College Senior
6,122,Curtis Kitchen,PF,United States,Seattle SuperSonics,South Florida,No,College Sophmore
6,124,Tim Kempton,PF,United States,Los Angeles Clippers,Notre Dame,No,College Senior
6,133,Anthony Frederick,SF,United States,Denver Nuggets,Pepperdine,No,College Senior
6,134,Alexander Volkov,C,Soviet Union,Atlanta Hawks,Budivelnik Kiev (USSR),No,Playing Internationally
