round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
1,1,Mychal Thompson,F/C,Bahamas,Portland Trail Blazers,Minnesota,Yes,College Senior,1978
1,2,Phil Fordx,G,United States,Kansas City Kings,North Carolina,Yes,College Senior,1978
1,3,Rick Robey,F/C,United States,Indiana Pacers,Kentucky,Yes,College Senior,1978
1,4,Micheal Ray Richardson,G/F,United States,New York Knicks,Montana,Yes,College Senior,1978
1,5,Purvis Short,G/F,United States,Golden State Warriors,Jackson State,Yes,College Senior,1978
1,6,Larry Bird^,F,United States,Boston Celtics,Indiana State,No,College Junior,1978
1,7,Ron Brewer,G,United States,Portland Trail Blazers,Arkansas,Yes,College Senior,1978
1,8,Freeman Williams,G/F,United States,Boston Celtics,Portland State,Yes,College Senior,1978
1,9,Reggie Theus,G,United States,Chicago Bulls,UNLV,No,College Junior,1978
1,10,Butch Lee,G,Puerto Rico,Atlanta Hawks,Marquette,No,College Senior,1978
1,11,James Hardy,F/C,United States,New Orleans Jazz,San Francisco,Yes,College Freshman,1978
1,12,George Johnson,F/C,United States,Milwaukee Bucks,St. John's,Yes,College Senior,1978
1,13,Winford Boynes,G/F,United States,New Jersey Nets,San Francisco,Yes,College Freshman,1978
1,14,Roger Phegley,G/F,United States,Washington Bullets,Bradley,No,College Senior,1978
1,15,Mike Mitchell,F,United States,Cleveland Cavaliers,Auburn,Yes,College Senior,1978
1,16,Jack Givens,G/F,United States,Atlanta Hawks,Kentucky,Yes,College Senior,1978
1,17,Rod Griffin,F,United States,Denver Nuggets,Wake Forest,Yes,College Senior,1978
1,18,Dave Corzine,C,United States,Washington Bullets,DePaul,Yes,College Senior,1978
1,19,Marty Byrnes,F,United States,Phoenix Suns,Syracuse,No,College Senior,1978
1,20,Frankie Sanders,G/F,United States,San Antonio Spurs,Southern,No,College Sophmore,1978
1,21,Mike Evans,G,United States,Denver Nuggets,Kansas State,Yes,College Senior,1978
1,22,Raymond Townsend,G,United States,Golden State Warriors,UCLA,Yes,College Senior,1978
2,23,Terry Tyler,G/F,United States,Detroit Pistons,Detroit,Yes,College Senior,1978
2,24,Keith Herron,G/F,United States,Portland Trail Blazers,Villanova,Yes,College Senior,1978
2,25,Rick Wilson,G,United States,Atlanta Hawks,Louisville,Yes,College Senior,1978
2,26,Ron Carter,G,United States,Los Angeles Lakers,VMI,Yes,College Senior,1978
2,27,Wayne Radford,G,United States,Indiana Pacers,Indiana,No,College Senior,1978
2,28,Buster Matheney,F,United States,Houston Rockets,Utah,Yes,College Senior,1978
2,29,John Long,G/F,United States,Detroit Pistons,Detroit,No,College Senior,1978
2,30,Jeff Judkins,G/F,United States,Boston Celtics,Utah,Yes,College Senior,1978
2,31,Marvin Johnson,F,United States,Chicago Bulls,New Mexico,No,College Senior,1978
2,32,John Rudd,F,United States,New York Knicks,McNeese State,Yes,College Senior,1978
2,33,Harry Davis,F,United States,Cleveland Cavaliers,Florida State,No,College Senior,1978
2,34,Greg Bunch,F,United States,New York Knicks,Cal State Fullerton,No,College Senior,1978
2,35,Tommie Green,G,United States,New Orleans Jazz,Southern,Yes,College Sophmore,1978
2,36,Maurice Cheeks^,G,United States,Philadelphia 76ers,West Texas State,Yes,College Senior,1978
2,37,Terry Sykes,F,United States,Washington Bullets,Grambling State,No,College Senior,1978
2,38,Lew Massey,G,United States,Los Angeles Lakers,UNC Charlotte,No,College Senior,1978
2,39,James Lee,F,United States,Seattle SuperSonics,Kentucky,No,College Senior,1978
2,40,Wayne Cooper,F/C,United States,Golden State Warriors,New Orleans,Yes,College Senior,1978
2,41,Jerome Whitehead,F/C,United States,Buffalo Braves,Marquette,Yes,College Senior,1978
2,42,Keven McDonald,F,United States,Seattle SuperSonics,Pennsylvania,Yes,College Senior,1978
2,43,Glenn Hagan,G,United States,Philadelphia 76ers,St. Bonaventure,No,College Senior,1978
2,44,Clemon Johnson,F/C,United States,Portland Trail Blazers,Florida A&M,No,College Senior,1978
3,46,Hollis Copeland,F,United States,Denver Nuggets,Rutgers,Yes,College Senior,1978
3,47,Billy Ray Bates,G,United States,Houston Rockets,Kentucky State,No,College Senior,1978
3,49,Jeff Cook,F/C,United States,Kansas City Kings,Idaho State,No,College Senior,1978
3,55,Marc Iavaroni,F,United States,New York Knicks,Virginia,No,College Senior,1978
3,57,Kenny Higgs,G,United States,Cleveland Cavaliers,LSU,No,College Senior,1978
3,59,Pat Cummings,F/C,United States,Milwaukee Bucks,Cincinnati,No,College Senior,1978
3,60,Michael Cooper,G/F,United States,Los Angeles Lakers,New Mexico,No,College Senior,1978
3,62,Dave Batton,C,United States,New Jersey Nets,Notre Dame,Yes,College Senior,1978
3,63,Joel Kramer,F/C,United States,Phoenix Suns,San Diego State,No,College Senior,1978
3,64,Gerald Henderson,G,United States,San Antonio Spurs,Virginia Commonwealth,No,College Senior,1978
4,67,Jackie Robinson,F,United States,Houston Rockets,UNLV,Yes,College Senior,1978
4,70,Geoff Crompton,C,United States,Kansas City Kings,North Carolina,No,College Senior,1978
4,80,Otis Howard,F,United States,Milwaukee Bucks,Austin Peay,No,College Senior,1978
4,81,Lawrence Boston,F,United States,Washington Bullets,Maryland,No,College Senior,1978
4,84,Walter Jordan,F,United States,New Jersey Nets,Purdue,Yes,College Senior,1978
4,85,Bob Miller,F,United States,Phoenix Suns,Cincinnati,No,College Senior,1978
4,87,Brett Vroman,C,United States,Philadelphia 76ers,UNLV,No,College Senior,1978
5,96,Duck Williams,G,United States,New Orleans Jazz,Notre Dame,No,College Senior,1978
5,101,Bubba Wilson,G,United States,Golden State Warriors,Western Carolina,No,College Senior,1978
5,104,Carlos Terry,G/F,United States,Los Angeles Lakers,Winston-Salem State,No,College Senior,1978
5,105,Ralph Drollinger,C,United States,Seattle SuperSonics,UCLA,No,College Senior,1978
5,107,Andre Wakefield,G,United States,Phoenix Suns,Loyola,No,College Senior,1978
5,110,Clay Johnson,G,United States,Portland Trail Blazers,Missouri,No,College Senior,1978
6,118,John Douglas,G,United States,New Orleans Jazz,Kansas,No,College Senior,1978
7,133,Stan Pietkiewicz,G/F,United States,Buffalo Braves,Auburn,No,College Senior,1978
7,146,Kim Anderson,F,United States,Milwaukee Bucks,Missouri,No,College Senior,1978
7,149,Steve Malovic,C,United States,Phoenix Suns,San Diego State,No,College Junior,1978
8,157,Earl Evans,F,United States,Detroit Pistons,UNLV,No,College Junior,1978
8,158,Carl Kilpatrick,C,United States,New Orleans Jazz,Northeast Louisiana,No,College Senior,1978
8,159,Chubby Cox,G,United States,Chicago Bulls,San Francisco,No,College Freshman,1978
10,190,Rickey Williams,G,United States,New Orleans Jazz,Long Beach State,No,College Senior,1978
1,1,Magic Johnson^,G/F,United States,Los Angeles Lakers,Michigan State,Yes,College Sophmore,1979
1,2,David Greenwood,F/C,United States,Chicago Bulls,UCLA,No,College Senior,1979
1,3,Bill Cartwright,C,United States,New York Knicks,San Francisco,Yes,College Freshman,1979
1,4,Greg Kelser,F,United States,Detroit Pistons,Michigan State,No,College Senior,1979
1,5,Sidney Moncrief^,G,United States,Milwaukee Bucks,Arkansas,Yes,College Senior,1979
1,6,James Bailey,F/C,United States,Seattle SuperSonics,Rutgers,Yes,College Senior,1979
1,7,Vinnie Johnson,G,United States,Seattle SuperSonics,Baylor,Yes,College Senior,1979
1,8,Calvin Natt,F,United States,New Jersey Nets,Northeast Louisiana,Yes,College Senior,1979
1,9,Larry Demic,F/C,United States,New York Knicks,Arizona,Yes,College Senior,1979
1,10,Roy Hamilton,G,United States,Detroit Pistons,UCLA,Yes,College Senior,1979
1,11,Cliff Robinson,F,United States,New Jersey Nets,USC,Yes,College Sophmore,1979
1,12,Jim Paxson,G/F,United States,Portland Trail Blazers,Dayton,No,College Senior,1979
1,13,Dudley Bradley,G/F,United States,Indiana Pacers,North Carolina,Yes,College Senior,1979
1,14,Brad Holland,G,United States,Los Angeles Lakers,UCLA,No,College Senior,1979
1,15,Phil Hubbard,F/C,United States,Detroit Pistons,Michigan,Yes,College Senior,1979
1,16,Jim Spanarkel,G/F,United States,Philadelphia 76ers,Duke,No,College Senior,1979
1,17,Lee Johnson,F,United States,Houston Rockets,East Texas State,No,College Senior,1979
1,18,Reggie King,F,United States,Kansas City Kings,Alabama,No,College Senior,1979
1,19,Wiley Peck,G,United States,San Antonio Spurs,Mississippi State,No,College Senior,1979
1,20,Larry Knight,F,United States,Utah Jazz,Loyola,Yes,College Senior,1979
1,21,Sly Williams,G/F,United States,New York Knicks,Rhode Island,Yes,College Junior,1979
1,22,Kyle Macy,G,United States,Phoenix Suns,Kentucky,Yes,College Senior,1979
2,23,Tico Brown,G,United States,Utah Jazz,Georgia Tech,No,College Senior,1979
2,24,Johnny High,G,United States,Phoenix Suns,Nevada,Yes,College Senior,1979
2,25,Oliver Mack,G,United States,Los Angeles Lakers,East Carolina,Yes,College Senior,1979
2,26,Bruce Flowers,F,United States,Cleveland Cavaliers,Notre Dame,No,College Senior,1979
2,27,Reggie Carter,G,United States,New York Knicks,St. John's,No,College Senior,1979
2,28,Danny Salisbury,F,United States,Golden State Warriors,Pan American,Yes,College Senior,1979
2,29,Tony Price,G,United States,Detroit Pistons,Pennsylvania,Yes,College Senior,1979
2,30,Gary Garland,G,United States,Denver Nuggets,DePaul,Yes,College Senior,1979
2,31,Edgar Jones,F/C,United States,Milwaukee Bucks,Nevada,No,College Senior,1979
2,32,Tony Zeno,F,United States,Indiana Pacers,Arizona State,No,College Senior,1979
2,33,Lawrence Butler,G,United States,Chicago Bulls,Idaho State,Yes,College Senior,1979
2,34,Kim Goetz,F,United States,New York Knicks,San Diego State,Yes,College Senior,1979
2,35,James Bradley,F,United States,Atlanta Hawks,Memphis State,No,College Senior,1979
2,36,Clint Richardson,G,United States,Philadelphia 76ers,Seattle,Yes,College Senior,1979
2,37,Bernard Toone,F,United States,Philadelphia 76ers,Marquette,No,College Senior,1979
2,38,Larry Wilson,F,United States,Atlanta Hawks,Nicholls State,Yes,College Senior,1979
2,39,Victor King,F,United States,Los Angeles Lakers,Louisiana Tech,No,College Senior,1979
2,40,Andrew Fields,F,United States,Portland Trail Blazers,Cheyney State,Yes,College Senior,1979
2,41,Mark Young,F,United States,Los Angeles Lakers,Fairfield,Yes,College Senior,1979
2,42,Paul Mokeski,F/C,United States,Houston Rockets,Kansas,Yes,College Senior,1979
2,43,Johnny Moore,G,United States,Seattle SuperSonics,Texas,No,College Senior,1979
2,44,Joe DeSantis,G,United States,Washington Bullets,Fairfield,No,College Senior,1979
3,45,Arvid Kramer,C,United States,Utah Jazz,Augustana,No,College Senior,1979
3,47,Calvin Garrett,F,United States,Chicago Bulls,Oral Roberts,Yes,College Senior,1979
3,48,Terry Duerod,G,United States,Detroit Pistons,Detroit,No,College Senior,1979
3,49,Cedrick Hordges,F/C,United States,Chicago Bulls,South Carolina,No,College Sophmore,1979
3,50,Geoff Huston,G,United States,New York Knicks,Texas Tech,No,College Senior,1979
3,53,Wayne Kreklow,G,United States,Boston Celtics,Drake,Yes,College Senior,1979
3,54,Lynbert Johnson,G/F,United States,Golden State Warriors,Wichita State,No,College Senior,1979
3,58,Earl Cureton,F/C,United States,Philadelphia 76ers,Detroit,No,College Senior,1979
3,59,Ricardo Brown,PG,Philippines/,Houston Rockets,Pepperdine,No,College Senior,1979
3,62,Terry Crosby,G,United States,Kansas City Kings,Tennessee,No,College Senior,1979
3,63,Sylvester Norris,C,United States,San Antonio Spurs,Jackson State,No,College Senior,1979
3,65,Bill Laimbeer,C,United States,Cleveland Cavaliers,Notre Dame,Yes,College Senior,1979
4,67,Greg Deane,G,United States,Utah Jazz,Utah,No,College Senior,1979
4,69,Nikos Galis,G,Greece,Boston Celtics,Seton Hall,No,College Senior,1979
4,73,James Donaldson,C,Great Britain/,Seattle SuperSonics,Washington State,Yes,College Senior,1979
4,82,Jerry Sichting,G,United States,Golden State Warriors,Purdue,Yes,College Senior,1979
4,83,Mike Niles,F,United States,Philadelphia 76ers,Cal State Fullerton,No,College Senior,1979
4,85,John McCullough,G,United States,Kansas City Kings,Oklahoma,No,College Senior,1979
5,98,Billy Reid,G,United States,Indiana Pacers,San Francisco,No,College Freshman,1979
5,104,Allen Leavell,G,United States,Houston Rockets,Oklahoma City,No,College Senior,1979
5,107,Mark Eaton,C,United States,Phoenix Suns,Cypress JC,No,College Freshman,1979
8,165,Charles Jones,F/C,United States,Phoenix Suns,Albany State,No,College Senior,1979
10,185,Paul Dawkins,F,United States,Utah Jazz,Northern Illinois,No,College Senior,1979
10,198,Keith McCord,G,United States,Philadelphia 76ers,UAB,No,College Senior,1979
1,1,Joe Barry Carroll,F/C,United States,Golden State Warriors,Purdue,Yes,College Senior,1980
1,2,Darrell Griffith,G,United States,Utah Jazz,Louisville,No,College Senior,1980
1,3,Kevin McHale^,F/C,United States,Boston Celtics,Minnesota,Yes,College Senior,1980
1,4,Kelvin Ransey,G,United States,Chicago Bulls,Ohio State,Yes,College Senior,1980
1,5,James Ray,F,United States,Denver Nuggets,Jacksonville,No,College Senior,1980
1,6,Mike O'Koren,G/F,United States,New Jersey Nets,North Carolina,No,College Senior,1980
1,7,Mike Gminski,C,United States,New Jersey Nets,Duke,Yes,College Senior,1980
1,8,Andrew Toney,G,United States,Philadelphia 76ers,Southwestern Louisiana,Yes,College Sophmore,1980
1,9,Michael Brooks,F,United States,San Diego Clippers,La Salle,Yes,College Senior,1980
1,10,Ronnie Lester,G,United States,Portland Trail Blazers,Iowa,Yes,College Senior,1980
1,11,Kiki Vandeweghe,F,United States,Dallas Mavericks,UCLA,No,College Senior,1980
1,12,Mike Woodson,G/F,United States,New York Knicks,Indiana,No,College Senior,1980
1,13,Rickey Brown,F/C,United States,Golden State Warriors,Mississippi State,Yes,College Senior,1980
1,14,Wes Matthews,G,United States,Washington Bullets,Wisconsin,Yes,College Junior,1980
1,15,Reggie Johnson,F/C,United States,San Antonio Spurs,Tennessee,No,College Senior,1980
1,16,Charles Whitney,G/F,United States,Kansas City Kings,NC State,No,College Senior,1980
1,17,Larry Drew,G,United States,Detroit Pistons,Missouri,Yes,College Senior,1980
1,18,Don Collins,G/F,United States,Atlanta Hawks,Washington State,No,College Senior,1980
1,19,John Duren,G,United States,Utah Jazz,Georgetown,Yes,College Senior,1980
1,20,Bill Hanzlik,G/F,United States,Seattle SuperSonics,Notre Dame,No,College Senior,1980
1,21,Monti Davis,F,United States,Philadelphia 76ers,Tennessee State,No,College Senior,1980
1,22,Chad Kinch,G,United States,Cleveland Cavaliers,UNC Charlotte,Yes,College Senior,1980
1,23,Carl Nicks,G,United States,Denver Nuggets,Indiana State,Yes,College Senior,1980
2,24,Larry Smith,F/C,United States,Golden State Warriors,Alcorn State,Yes,College Senior,1980
2,25,Jeff Ruland,F/C,United States,Golden State Warriors,Iona,Yes,College Junior,1980
2,26,Sam Worthen,F,United States,Chicago Bulls,Marquette,Yes,College Senior,1980
2,27,John Stroud,F,United States,Houston Rockets,Mississippi,Yes,College Senior,1980
2,28,Craig Shelton,F,United States,Atlanta Hawks,Georgetown,Yes,College Senior,1980
2,29,Louis Orr,F,United States,Indiana Pacers,Syracuse,Yes,College Senior,1980
2,30,Kenny Natt,G,United States,Indiana Pacers,Northeast Louisiana,Yes,College Senior,1980
2,31,Wayne Robinson,F,United States,Los Angeles Lakers,Virginia Tech,Yes,College Senior,1980
2,32,David Lawrence,F,United States,Portland Trail Blazers,McNeese State,Yes,College Senior,1980
2,33,Bruce Collins,G/F,United States,Portland Trail Blazers,Weber State,No,College Senior,1980
2,34,Roosevelt Bouie,C,United States,Dallas Mavericks,Syracuse,No,College Senior,1980
2,35,Rick Mahorn,F/C,United States,Washington Bullets,Hampton,No,College Senior,1980
2,36,DeWayne Scales,F,United States,New York Knicks,LSU,No,College Junior,1980
2,37,Butch Carter,G,United States,Los Angeles Lakers,Indiana,Yes,College Senior,1980
2,38,Terry Stotts,F,United States,Houston Rockets,Oklahoma,No,College Senior,1980
2,39,Michael Wiley,F,United States,San Antonio Spurs,Long Beach State,Yes,College Senior,1980
2,40,Dick Miller,F,United States,Indiana Pacers,Toledo,Yes,College Senior,1980
2,41,Jawann Oldham,C,United States,Denver Nuggets,Seattle,Yes,College Senior,1980
2,42,Kimberly Belton,F,United States,Phoenix Suns,Stanford,No,College Senior,1980
2,43,Billy Williams,G,United States,Houston Rockets,Clemson,Yes,College Senior,1980
2,44,Clyde Austin,G,United States,Philadelphia 76ers,NC State,No,College Senior,1980
2,45,Brad Branson,F/C,United States,Detroit Pistons,SMU,Yes,College Senior,1980
2,46,Arnette Hallman,F,United States,Boston Celtics,Purdue,No,College Senior,1980
3,47,Kurt Nimphius,F/C,United States,Denver Nuggets,Arizona State,Yes,College Senior,1980
3,50,James Wilkes,F,United States,Chicago Bulls,UCLA,No,College Senior,1980
3,51,Ronnie Valentine,F,United States,Denver Nuggets,Old Dominion,No,College Senior,1980
3,52,Lowes Moore,G,United States,New Jersey Nets,West Virginia,No,College Senior,1980
3,56,Mike Harper,F/C,United States,Portland Trail Blazers,North Park,No,College Senior,1980
3,57,David Britton,G,United States,Dallas Mavericks,Texas A&M,No,College Senior,1980
3,58,Kurt Rambis,F,United States,New York Knicks,Santa Clara,No,College Senior,1980
4,61,Rich Yonakor,F,United States,San Antonio Spurs,North Carolina,No,College Senior,1980
4,66,Carl Bailey,C,United States,Seattle SuperSonics,Tuskegee,No,College Senior,1980
4,70,Darwin Cook,G,United States,Detroit Pistons,Portland,No,College Senior,1980
4,75,Rory Sparrow,G,United States,New Jersey Nets,Villanova,No,College Senior,1980
4,87,Tony Jackson,G,United States,Los Angeles Lakers,Florida State,Yes,College Senior,1980
5,93,Tony Fuller,G,United States,Detroit Pistons,Pepperdine,No,College Senior,1980
5,99,Wally Rank,G/F,United States,San Diego Clippers,San Jose State,No,College Senior,1980
5,103,Darrell Allums,F,United States,Dallas Mavericks,UCLA,No,College Senior,1980
7,141,Lorenzo Romar,G,United States,Golden State Warriors,Washington,No,College Senior,1980
8,168,John Stroeder,F,United States,Portland Trail Blazers,Montana,No,College Senior,1980
8,169,Clarence Kea,F,United States,Dallas Mavericks,Lamar,No,College Senior,1980
9,182,Billy Reid,G,United States,Golden State Warriors,San Francisco,No,College Freshman,1980
1,1,Mark Aguirre,G/F,United States,Dallas Mavericks,DePaul,No,College Junior,1981
1,2,Isiah Thomas^,G,United States,Detroit Pistons,Indiana,No,College Sophmore,1981
1,3,Buck Williams,F/C,United States,New Jersey Nets,Maryland,No,College Junior,1981
1,4,Al Wood,G/F,United States,Atlanta Hawks,North Carolina,Yes,College Senior,1981
1,5,Danny Vranes,F,United States,Seattle SuperSonics,Utah,Yes,College Senior,1981
1,6,Orlando Woolridge,F,United States,Chicago Bulls,Notre Dame,Yes,College Senior,1981
1,7,Steve Johnson,F/C,United States,Kansas City Kings,Oregon State,Yes,College Senior,1981
1,8,Tom Chambers,F/C,United States,San Diego Clippers,Utah,No,College Senior,1981
1,9,Rolando Blackman,G,Panama,Dallas Mavericks,Kansas State,Yes,College Senior,1981
1,10,Albert King,G/F,United States,New Jersey Nets,Maryland,Yes,College Senior,1981
1,11,Frank Johnson,G,United States,Washington Bullets,Wake Forest,No,College Senior,1981
1,12,Kelly Tripucka,G/F,United States,Detroit Pistons,Notre Dame,Yes,College Senior,1981
1,13,Danny Schayes,F/C,United States,Utah Jazz,Syracuse,Yes,College Senior,1981
1,14,Herb Williams,F/C,United States,Indiana Pacers,Ohio State,No,College Senior,1981
1,15,Jeff Lamp,G/F,United States,Portland Trail Blazers,Virginia,No,College Senior,1981
1,16,Darnell Valentine,G,United States,Portland Trail Blazers,Kansas,Yes,College Senior,1981
1,17,Kevin Loder,G/F,United States,Kansas City Kings,Alabama State,Yes,College Senior,1981
1,18,Ray Tolbert,F,United States,New Jersey Nets,Indiana,Yes,College Senior,1981
1,19,Mike McGee,G/F,United States,Los Angeles Lakers,Michigan,No,College Senior,1981
1,20,Larry Nance,F/C,United States,Phoenix Suns,Clemson,No,College Senior,1981
1,21,Alton Lister,F/C,United States,Milwaukee Bucks,Arizona State,No,College Senior,1981
1,22,Franklin Edwards,G,United States,Philadelphia 76ers,Cleveland State,No,College Senior,1981
1,23,Charles Bradley,G,United States,Boston Celtics,Wyoming,No,College Senior,1981
2,24,Jay Vincent,F,United States,Dallas Mavericks,Michigan State,No,College Senior,1981
2,25,Tracy Jackson,G/F,United States,Boston Celtics,Notre Dame,Yes,College Senior,1981
2,26,Brian Jackson,F,United States,Portland Trail Blazers,Utah State,Yes,College Senior,1981
2,27,Howard Wood,F,United States,Utah Jazz,Tennessee,No,College Senior,1981
2,28,Gene Banks,G/F,United States,San Antonio Spurs,Duke,Yes,College Senior,1981
2,29,Eddie Johnson,G/F,United States,Kansas City Kings,Illinois,Yes,College Senior,1981
2,30,Ed Rains,F,United States,San Antonio Spurs,South Alabama,Yes,College Sophmore,1981
2,31,Danny Ainge,G/F,United States,Boston Celtics,Brigham Young,Yes,College Senior,1981
2,32,Mike Olliver,G,United States,Chicago Bulls,Lamar,Yes,College Senior,1981
2,33,Sam Williams,F,United States,Golden State Warriors,Arizona State,Yes,College Senior,1981
2,34,Ken Green,F,United States,Denver Nuggets,Pan American,Yes,College Senior,1981
2,35,Charles Davis,F,United States,Washington Bullets,Vanderbilt,Yes,College Senior,1981
2,36,Ray Blume,G,United States,Indiana Pacers,Oregon State,Yes,College Senior,1981
2,37,Al Leslie,G,United States,Indiana Pacers,Bucknell,No,College Senior,1981
2,38,Clyde Bradshaw,G,United States,Atlanta Hawks,DePaul,Yes,College Senior,1981
2,39,Harvey Knuckles,F,United States,Los Angeles Lakers,Toledo,Yes,College Senior,1981
2,40,Greg Cook,F,United States,New York Knicks,LSU,No,College Senior,1981
2,41,Claude Gregory,F,United States,Washington Bullets,Wisconsin,Yes,College Senior,1981
2,42,Elvis Rolle,F/C,Bahamas,Los Angeles Lakers,Florida State,No,College Senior,1981
2,43,Elston Turner,G/F,United States,Dallas Mavericks,Mississippi,Yes,College Senior,1981
2,44,Steve Lingenfelter,F,United States,Washington Bullets,South Dakota State,Yes,College Sophmore,1981
2,45,Ed Turner,F,United States,Houston Rockets,Texas A&I,Yes,College Senior,1981
2,46,Vernon Smith,F,United States,Philadelphia 76ers,Texas A&M,No,College Senior,1981
3,49,David Burns,G,United States,New Jersey Nets,Saint Louis,No,College Senior,1981
3,52,Rudy Macklin,G/F,United States,Atlanta Hawks,LSU,No,College Senior,1981
3,53,Mark Radford,G,United States,Seattle SuperSonics,Oregon State,No,College Senior,1981
3,54,Jim Smith,F,United States,San Diego Clippers,Ohio State,No,College Senior,1981
3,55,Mickey Dillard,G,United States,Cleveland Cavaliers,Florida State,Yes,College Senior,1981
3,57,Frank Brickowski,F/C,United States,New York Knicks,Penn State,Yes,College Senior,1981
3,61,Pétur Guðmundsson,C,Iceland,Portland Trail Blazers,Washington,No,College Senior,1981
3,66,Craig Dykema,F,United States,Phoenix Suns,Long Beach State,No,College Senior,1981
4,72,Edmund Sherod,G,United States,New Jersey Nets,VCU,No,College Senior,1981
4,76,Lewis Lloyd,G/F,United States,Golden State Warriors,Drake,Yes,College Senior,1981
4,78,Kenny Dennard,F,United States,Kansas City Kings,Duke,Yes,College Senior,1981
4,81,Larry Spriggs,F,United States,Houston Rockets,Howard,No,College Senior,1981
4,85,Peter Verhoeven,F,United States,Portland Trail Blazers,Fresno State,No,College Freshman,1981
4,86,Alex Bradley,F,United States,New York Knicks,Villanova,No,College Senior,1981
4,88,Kevin McKenna,G/F,United States,Los Angeles Lakers,Creighton,No,College Senior,1981
5,95,Joe Cooper,F/C,United States,New Jersey Nets,Colorado,No,College Senior,1981
5,102,Hank McDowell,F/C,United States,Golden State Warriors,Memphis State,No,College Senior,1981
5,103,Garry Witts,G/F,United States,Washington Bullets,Holy Cross,No,College Senior,1981
6,130,Roger Burkman,G,United States,Chicago Bulls,Louisville,No,College Senior,1981
7,150,Clinton Wheeler,G,United States,Kansas City Kings,William Paterson,No,College Senior,1981
8,165,Bobby Cattage,F,United States,Utah Jazz,Auburn,No,College Senior,1981
10,210,Tony Gwynn,G,United States,San Diego Clippers,San Diego State,No,College Senior,1981
10,211,Derrick Rowland,G,United States,Denver Nuggets,Potsdam State,No,College Senior,1981
10,216,Kenny Easley,G,United States,Chicago Bulls,UCLA,No,College Senior,1981
1,1,James Worthy^,SF,United States,Los Angeles Lakers,North Carolina,Yes,College Junior,1982
1,2,Terry Cummings,PF,United States,San Diego Clippers,DePaul,No,College Junior,1982
1,3,Dominique Wilkins^,SF,United States,Utah Jazz,Georgia,Yes,College Junior,1982
1,4,Bill Garnett,SF,United States,Dallas Mavericks,Wyoming,No,College Senior,1982
1,5,LaSalle Thompson,C/PF,United States,Kansas City Kings,Texas,No,College Junior,1982
1,6,Trent Tucker,SG,United States,New York Knicks,Minnesota,No,College Senior,1982
1,7,Quintin Dailey,SG,United States,Chicago Bulls,San Francisco,No,College Freshman,1982
1,8,Clark Kellogg,PF,United States,Indiana Pacers,Ohio State,No,College Junior,1982
1,9,Cliff Levingston,PF,United States,Detroit Pistons,Wichita State,No,College Junior,1982
1,10,Keith Edmonson,SG,United States,Atlanta Hawks,Purdue,No,College Senior,1982
1,11,Fat Lever,PG,United States,Portland Trail Blazers,Arizona State,No,College Senior,1982
1,12,John Bagley,PG,United States,Cleveland Cavaliers,Boston College,Yes,College Junior,1982
1,13,Sleepy Floyd,SG,United States,New Jersey Nets,Georgetown,No,College Senior,1982
1,14,Lester Conner,PG,United States,Golden State Warriors,Oregon State,No,College Senior,1982
1,15,David Thirdkill,SF,United States,Phoenix Suns,Bradley,Yes,College Senior,1982
1,16,Terry Teagle,SG,United States,Houston Rockets,Baylor,No,College Senior,1982
1,17,Brook Steppe,SG,United States,Kansas City Kings,Georgia Tech,Yes,College Senior,1982
1,18,Ricky Pierce,SF,United States,Detroit Pistons,Rice,Yes,College Senior,1982
1,19,Rob Williams,PG,United States,Denver Nuggets,Houston,Yes,College Junior,1982
1,20,Paul Pressey,SF,United States,Milwaukee Bucks,Tulsa,No,College Senior,1982
1,21,Eddie Phillips,SF,United States,New Jersey Nets,Alabama,Yes,College Senior,1982
1,22,Mark McNamara,C,United States,Philadelphia 76ers,California,No,College Senior,1982
1,23,Darren Tillis,C,United States,Boston Celtics,Cleveland State,No,College Senior,1982
2,24,Oliver Robinson,SG,United States,San Antonio Spurs,UAB,No,College Senior,1982
2,25,Bryan Warrick,SG,United States,Washington Bullets,Saint Joseph's,No,College Senior,1982
2,26,Ricky Frazier,SF,United States,Chicago Bulls,Missouri,No,College Senior,1982
2,27,Fred Roberts,PF,United States,Milwaukee Bucks,BYU,No,College Senior,1982
2,28,Dave Magley,PF,United States,Cleveland Cavaliers,Kansas,No,College Senior,1982
2,29,Scott Hastings,F/C,United States,New York Knicks,Arkansas,No,College Senior,1982
2,30,Wallace Bryant,C,United States,Chicago Bulls,San Francisco,No,College Freshman,1982
2,31,Rod Higgins,F/C,United States,Chicago Bulls,Fresno State,No,College Freshman,1982
2,32,Richard Anderson,PF,United States,San Diego Clippers,UC Santa Barbara,No,College Senior,1982
2,33,Linton Townes,SF,United States,Portland Trail Blazers,James Madison,No,College Senior,1982
2,34,Vince Taylor,SF,United States,New York Knicks,Duke,No,College Senior,1982
2,35,Derek Smith,SG,United States,Golden State Warriors,Louisville,No,College Senior,1982
2,36,J. J. Anderson,SF,United States,Philadelphia 76ers,Bradley,No,College Senior,1982
2,37,Audie Norris,C,United States,Portland Trail Blazers,Jackson State,No,College Senior,1982
2,38,Wayne Sappleton,F,United States,Golden State Warriors,Loyola,Yes,College Senior,1982
2,39,Kevin Magee,PF,United States,Phoenix Suns,UC Irvine,No,College Senior,1982
