Round,Pick,Player,Position,Nationality,Team,School/club team,Traded to a different team,Status
2,26,Brian Jackson,F,United States,Portland Trail Blazers,Utah State,Yes,College Senior
2,27,Howard Wood,F,United States,Utah Jazz,Tennessee,No,College Senior
2,28,Gene Banks,G/F,United States,San Antonio Spurs,Duke,Yes,College Senior
2,29,Eddie Johnson,G/F,United States,Kansas City Kings,Illinois,Yes,College Senior
2,30,Ed Rains,F,United States,San Antonio Spurs,South Alabama,Yes,College Sophmore
2,31,Danny Ainge,G/F,United States,Boston Celtics,Brigham Young,Yes,College Senior
2,32,Mike Olliver,G,United States,Chicago Bulls,Lamar,Yes,College Senior
2,33,Sam Williams,F,United States,Golden State Warriors,Arizona State,Yes,College Senior
2,34,Ken Green,F,United States,Denver Nuggets,Pan American,Yes,College Senior
2,35,Charles Davis,F,United States,Washington Bullets,Vanderbilt,Yes,College Senior
2,36,Ray Blume,G,United States,Indiana Pacers,Oregon State,Yes,College Senior
2,37,Al Leslie,G,United States,Indiana Pacers,Bucknell,No,College Senior
2,38,Clyde Bradshaw,G,United States,Atlanta Hawks,DePaul,Yes,College Senior
2,39,Harvey Knuckles,F,United States,Los Angeles Lakers,Toledo,Yes,College Senior
2,40,Greg Cook,F,United States,New York Knicks,LSU,No,College Senior
2,41,Claude Gregory,F,United States,Washington Bullets,Wisconsin,Yes,College Senior
2,42,Elvis Rolle,F/C,Bahamas,Los Angeles Lakers,Florida State,No,College Senior
2,43,Elston Turner,G/F,United States,Dallas Mavericks,Mississippi,Yes,College Senior
2,44,Steve Lingenfelter,F,United States,Washington Bullets,South Dakota State,Yes,College Sophmore
2,45,Ed Turner,F,United States,Houston Rockets,Texas A&I,Yes,College Senior
2,46,Vernon Smith,F,United States,Philadelphia 76ers,Texas A&M,No,College Senior
3,49,David Burns,G,United States,New Jersey Nets,Saint Louis,No,College Senior
3,52,Rudy Macklin,G/F,United States,Atlanta Hawks,LSU,No,College Senior
3,53,Mark Radford,G,United States,Seattle SuperSonics,Oregon State,No,College Senior
3,54,Jim Smith,F,United States,San Diego Clippers,Ohio State,No,College Senior
3,55,Mickey Dillard,G,United States,Cleveland Cavaliers,Florida State,Yes,College Senior
3,57,Frank Brickowski,F/C,United States,New York Knicks,Penn State,Yes,College Senior
3,61,Pétur Guðmundsson,C,Iceland,Portland Trail Blazers,Washington,No,College Senior
3,66,Craig Dykema,F,United States,Phoenix Suns,Long Beach State,No,College Senior
4,72,Edmund Sherod,G,United States,New Jersey Nets,VCU,No,College Senior
4,76,Lewis Lloyd,G/F,United States,Golden State Warriors,Drake,Yes,College Senior
4,78,Kenny Dennard,F,United States,Kansas City Kings,Duke,Yes,College Senior
4,81,Larry Spriggs,F,United States,Houston Rockets,Howard,No,College Senior
4,85,Peter Verhoeven,F,United States,Portland Trail Blazers,Fresno State,No,College Freshman
4,86,Alex Bradley,F,United States,New York Knicks,Villanova,No,College Senior
4,88,Kevin McKenna,G/F,United States,Los Angeles Lakers,Creighton,No,College Senior
5,95,Joe Cooper,F/C,United States,New Jersey Nets,Colorado,No,College Senior
5,102,Hank McDowell,F/C,United States,Golden State Warriors,Memphis State,No,College Senior
5,103,Garry Witts,G/F,United States,Washington Bullets,Holy Cross,No,College Senior
6,130,Roger Burkman,G,United States,Chicago Bulls,Louisville,No,College Senior
7,150,Clinton Wheeler,G,United States,Kansas City Kings,William Paterson,No,College Senior
8,165,Bobby Cattage,F,United States,Utah Jazz,Auburn,No,College Senior
10,210,Tony Gwynn,G,United States,San Diego Clippers,San Diego State,No,College Senior
10,211,Derrick Rowland,G,United States,Denver Nuggets,Potsdam State,No,College Senior
10,216,Kenny Easley,G,United States,Chicago Bulls,UCLA,No,College Senior
